Product Title,Cost,7 Day Sale,Total Sale,Review,Favorite,Cost_Group,Favorite_Group,Review_Group
Let It Snow Mug (PNG + JPG Files) - Digital File w/ Transparent Background,0.49,0,1.0,0,2,0,0,0
"Teacher Love Inspire Quote svg, Kindergarten svg, School SVG, T Shirt Design, Pre School svg, School Quotes svg, Digital Download SB-0025-08",1.48,0,1.0,0,0,0,0,0
"Leopard This Granny Loves Her Herd Png, Valentine's Day png, Mama Valentine, Cowhide Mama loves her herd, Highland cows Png",1.65,0,292.0,0,0,0,0,0
10 x 8mm White Foil Flat Back Cabochons DIY jewellery,1.88,0,2.0,0,3,0,0,0
13 Petal Felt Flower/ Succulent,1.99,0,3.0,0,4,0,0,0
Modern Gift Tag · SVG DXF PNG jpg · Digital Download,0.99,0,1.0,0,0,0,0,0
"Happy Halloween Png, Trick Or Treat Png, Spooky Vibes Png, Witch Png, Fall, Png Files For Sublimation, Only Png",1.75,2,319.0,0,10,0,0,0
A button covered with white silk velvet ø 3.0 cm - vintage look,0.91,0,3.0,0,5,0,0,0
"But First Jesus SVG PNG PDF, Christian Svg, Religious Svg, Faith Svg, Jesus Svg, Bible Quote Svg, Love Svg, Be Kind Svg, Love Like Jesus Svg",1.92,0,2.0,0,5,0,0,0
Baby Silhouette - Baby Boy SVG - Baby Girl SVG - Newborn Silhouette - Newborn SVG - Baby Shower Svg - Baby Cut File - Baby Feet Svg- Toddler,1.37,0,4.0,0,6,0,0,0
Tumbler Care Card - Printable - Cutout - Silhouette Cameo - Decal/ Add Your Logo,1.98,0,2.0,0,6,0,0,0
"Wild & Free svg, 4th of July svg, Independence Day svg, Fourth of July svg, graphic for shirts, tumblers, totes",1.0,0,3.0,0,6,0,0,0
"50mm 20 Ga 24k Shiny Gold Plated Head Pins, Flat Head Pins, Head Pins for Beading, Components, Gold Plated Findings,  MBGCHK324",1.82,0,0.0,0,6,0,0,0
NEW EASTER MOUSE Mouse Head Pastel Easter Clay Mix For Slime | Fake Sprinkles | Polymer Clay Slices | Fimo Slices | Non Edible,1.64,23,52.0,0,7,0,0,0
"Forever in our hearts SVG. Memorial SVG. In memory of svg. Lost loved one svg. Heartbeat svg. Heartbeat memorial svg, in our hearts svg",1.25,0,0.0,0,7,0,0,0
"Cylinder Round Brass ends caps, (Outer dimensions: 25x16mm) 14mm inner hole raw brass cord  tip ends, brass ribbon end, findings ENC14 1425",1.1,2,43.0,0,7,0,0,0
Light Pink Wooden Planks Boards Image/Clip Art/Background Instant Digital Download,1.65,0,3.0,0,7,0,0,0
Digital stamps,1.94,0,3.0,0,7,0,0,0
Be A Nice Human Tie Dye Sublimation Transfer Ready to Press Positive Happy Inspirational Design,1.0,0,3.0,0,7,0,0,0
"Halloween Grosgrain Ribbon, Halloween Ribbon, Pumpkin Ribbon, Spooky Ribbon - Ready to Ship, Candy Cane Ribbon, Hair Bow Making Supplies",0.99,0,0.0,0,8,0,0,0
Replacement ROUND CRYSTAL Diamond Painting Drills Rhinestones Flat Back 2.8mm Crystals DMC 950 951 955 958 959 964 967 972 973 989 995 996,0.74,0,6.0,0,8,0,0,0
Birthday Party chunky polyester glitter mix 2 oz. in a shaker bottle!,1.75,1,4.0,0,8,0,0,0
"Yo perreo sola, Bad Bunny Svg, Png, Cricut File, Perfect for Cricut, Instant Download",1.99,0,8.0,0,8,0,0,0
US Camper SVG | USA Flag Trailer Camp Svg | Camping T-Shirt Vinyl Decals Graphics | Cricut Silhouette Clipart Vector Digital Dxf Png Eps Ai,0.5,35,40.0,0,8,0,0,0
